dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
manhattan_distance,3,6418,28.09147210000083,4,25672,56111576,25693
manhattan_distance,3,7059,74.95216100000107,6,42354,150386630,42381
manhattan_distance,3,7764,51.973698899997544,5,38820,104589558,38845
manhattan_distance,3,8540,36.478177199998754,3,25620,73071476,25634
manhattan_distance,3,9394,77.56775479999851,5,46970,153837246,46996
manhattan_distance,3,10333,71.58850619999794,4,41332,142889600,41351
manhattan_distance,3,11366,161.85722910000186,7,79562,323492182,79599
manhattan_distance,4,100,0.005589300002611708,3,300,9254,318
manhattan_distance,4,110,0.008578899996791733,4,440,16756,462
manhattan_distance,4,121,0.01010629999655066,4,484,19818,508
manhattan_distance,4,133,0.018931399998109555,7,931,38192,973
manhattan_distance,4,146,0.019495000000461005,6,876,37598,911
manhattan_distance,4,160,0.018304300003364915,4,640,36222,665
manhattan_distance,4,176,0.013642800000525312,3,528,27328,547
manhattan_distance,4,193,0.020024299999931827,3,579,40390,597
manhattan_distance,4,212,0.0187368000006245,3,636,37338,654
manhattan_distance,4,233,0.02092590000029304,2,466,41784,478
manhattan_distance,4,256,0.02162510000198381,2,512,43270,523
manhattan_distance,4,281,0.07486540000172681,5,1405,149210,1436
manhattan_distance,4,309,0.1269085999992967,9,2781,251206,2836
manhattan_distance,4,339,0.08758020000095712,5,1695,175688,1727
manhattan_distance,4,372,0.10504020000007586,5,1860,208048,1891
manhattan_distance,4,409,0.07063120000020717,3,1227,139562,1246
manhattan_distance,4,449,0.08206290000089211,3,1347,160694,1365
manhattan_distance,4,493,0.1740773999990779,5,2465,338578,2497
manhattan_distance,4,542,0.13720720000128495,3,1626,274440,1643
manhattan_distance,4,596,0.2608884000001126,4,2384,515340,2409
manhattan_distance,4,655,0.11297420000119018,2,1310,221080,1322
manhattan_distance,4,720,0.5482957000021997,6,4320,1066612,4356
manhattan_distance,4,792,1.2250027999980375,12,9504,2441872,9574
manhattan_distance,4,871,0.6924303000014334,5,4355,1337516,4382
manhattan_distance,4,958,0.5569214000024658,4,3832,943856,3856
manhattan_distance,4,1053,0.4646372999995947,3,3159,853466,3178
manhattan_distance,4,1158,0.53887979999854,3,3474,1030188,3494
manhattan_distance,4,1273,0.5726794000001973,2,2546,1101430,2558
manhattan_distance,4,1400,1.0563762999991013,4,5600,2057848,5626
manhattan_distance,4,1540,1.2420755999992252,4,6160,2405660,6184
manhattan_distance,4,1694,1.5355224999984785,4,6776,2963786,6804
manhattan_distance,4,1863,1.4423419999984617,3,5589,2773656,5609
manhattan_distance,4,2049,5.217648399997415,7,14343,10184638,14384
manhattan_distance,4,2253,4.378136299998005,6,13518,8530106,13555
manhattan_distance,4,2478,7.535833699999785,8,19824,14632160,19876
manhattan_distance,4,2725,4.24126780000006,4,10900,7586052,10927
manhattan_distance,4,2997,9.433203000000503,6,17982,18567534,18017
manhattan_distance,4,3296,5.721282899998187,4,13184,11319096,13212
manhattan_distance,4,3625,15.519892800002708,7,25375,30996122,25418
manhattan_distance,4,3987,30.497437199999695,13,51831,59104056,51916
manhattan_distance,4,4385,7.610918499998661,3,13155,14875324,13175
manhattan_distance,4,4823,22.004734699999972,7,33761,43668796,33808
manhattan_distance,4,5305,17.57131279999885,4,21220,35186376,21244
manhattan_distance,4,5835,19.285842900000716,4,23340,37679350,23366
manhattan_distance,4,6418,26.321454600001744,5,32090,52577732,32121
manhattan_distance,4,7059,46.863021500001196,6,42354,93234550,42397
manhattan_distance,4,7764,60.85679900000105,6,46584,121593480,46622
manhattan_distance,4,8540,28.10407320000013,3,25620,56103210,25640
manhattan_distance,4,9394,59.955161199999566,5,46970,119288430,47004
manhattan_distance,4,10333,56.659770899997966,4,41332,113497598,41357
manhattan_distance,4,11366,67.26375380000172,4,45464,134122152,45490
manhattan_distance,4,12502,60.94967069999984,3,37506,121004620,37526
manhattan_distance,4,13752,255.10886010000104,8,110016,484576350,110073
manhattan_distance,5,100,0.006814899999881163,3,300,11102,320
manhattan_distance,5,110,0.008030799999687588,5,550,15848,585
manhattan_distance,5,121,0.009808099999645492,5,605,18795,644
manhattan_distance,5,133,0.009922699999151519,3,399,19859,420
manhattan_distance,5,146,0.008087399997748435,3,438,15826,462
manhattan_distance,5,160,0.018028599999524886,4,640,35232,670
manhattan_distance,5,176,0.018005000001721783,4,704,35388,733
manhattan_distance,5,193,0.02498840000043856,5,965,48433,1007
manhattan_distance,5,212,0.016266900001937756,3,636,31770,658
manhattan_distance,5,233,0.023608500003319932,3,699,45479,721
manhattan_distance,5,256,0.03453050000098301,4,1024,67234,1052
manhattan_distance,5,281,0.043155100000149105,4,1124,84304,1154
manhattan_distance,5,309,0.05722869999954128,5,1545,108801,1583
manhattan_distance,5,339,0.0810708999997587,6,2034,155190,2081
manhattan_distance,5,372,0.07715149999785353,5,1860,150498,1895
manhattan_distance,5,409,0.1264565000019502,6,2454,239432,2503
manhattan_distance,5,449,0.2140505999996094,8,3592,416134,3656
manhattan_distance,5,493,0.2004023999979836,7,3451,388605,3505
manhattan_distance,5,542,0.11233369999899878,3,1626,218660,1647
manhattan_distance,5,596,0.1158754999996745,3,1788,224124,1810
manhattan_distance,5,655,0.5204077000016696,8,5240,1011082,5307
manhattan_distance,5,720,0.470069599999988,7,5040,907138,5091
manhattan_distance,5,792,0.41435070000079577,6,4752,806464,4799
manhattan_distance,5,871,0.43846900000062305,5,4355,842775,4396
manhattan_distance,5,958,0.6396716999988712,5,4790,1224384,4825
manhattan_distance,5,1053,1.3662304999998014,8,8424,2626654,8483
manhattan_distance,5,1158,1.2378953000006732,8,9264,2371626,9331
manhattan_distance,5,1273,1.091555300001346,6,7638,2082066,7685
manhattan_distance,5,1400,2.7775638999992225,12,16800,5330650,16896
manhattan_distance,5,1540,0.6011928999978409,2,3080,1158278,3095
manhattan_distance,5,1694,1.551994100002048,5,8470,2979722,8507
manhattan_distance,5,1863,2.4030936999988626,6,11178,4617790,11227
manhattan_distance,5,2049,3.741166300002078,8,16392,7164354,16459
manhattan_distance,5,2253,2.7498656999996456,5,11265,5287627,11302
manhattan_distance,5,2478,5.015106499999092,7,17346,9583702,17403
manhattan_distance,5,2725,4.950427399999171,5,13625,9485883,13664
manhattan_distance,5,2997,3.9436486000013247,4,11988,7547880,12022
manhattan_distance,5,3296,9.106891200000973,7,23072,17558794,23132
manhattan_distance,5,3625,7.177519500000926,5,18125,13544507,18166
manhattan_distance,5,3987,8.543277599997964,5,19935,16075809,19971
manhattan_distance,5,4385,14.44986489999792,7,30695,27527629,30749
manhattan_distance,5,4823,26.99303670000154,10,48230,51802160,48320
manhattan_distance,5,5305,32.98352090000117,10,53050,63302094,53135
manhattan_distance,5,5835,43.923892999999225,10,58350,84600302,58432
manhattan_distance,5,6418,102.62601189999987,20,128360,192067308,128516
manhattan_distance,5,7059,37.82913720000215,7,49413,71810655,49471
manhattan_distance,5,7764,125.00742660000105,17,131988,239676482,132132
manhattan_distance,6,100,0.010388999999122461,8,800,19828,865
manhattan_distance,6,110,0.006993599999987055,4,440,13686,477
manhattan_distance,6,121,0.004987499996786937,3,363,10054,391
manhattan_distance,6,133,0.009270400001696544,4,532,18396,567
manhattan_distance,6,146,0.014220100001693936,5,730,28388,771
manhattan_distance,6,160,0.00933459999941988,3,480,18360,503
manhattan_distance,6,176,0.013982399999804329,3,528,27386,551
manhattan_distance,6,193,0.019017700000404147,4,772,37070,807
manhattan_distance,6,212,0.027699600002961233,5,1060,51638,1103
manhattan_distance,6,233,0.03550830000312999,6,1398,67452,1454
manhattan_distance,6,256,0.04782839999825228,6,1536,93288,1586
manhattan_distance,6,281,0.033620000001974404,4,1124,61408,1158
manhattan_distance,6,309,0.10989250000056927,10,3090,204372,3179
manhattan_distance,6,339,0.07839679999960936,6,2034,151590,2085
manhattan_distance,6,372,0.05949459999828832,4,1488,114798,1529
manhattan_distance,6,409,0.10207029999946826,6,2454,199734,2508
